full_formula,task_id,formation_energy_per_atom
Ho2Ga2,mp-1018073,-0.6295570599999998
Dy2S4,mp-1018675,-2.1099487993749997
Pr2Sb2Pt2,mp-1018902,-1.1112381283333335
Tl1P1Pd5,mp-1025348,-0.41520282173469425
Zn1As1Pt5,mp-1025356,-0.3101353428571433
Ba2In4Pd2,mp-1025520,-0.567270822916667
Sr6Ru2N6,mp-1029750,-0.7014797438771428
Yb1Al2Si2,mp-10405,-0.31762717399999973
Na1P1F6,mp-10474,-3.061349561722857
Sr6As6,mp-1049,-1.0859083058333336
Tb16O24,mp-1056,-4.0069550435000005
Pb1S1,mp-1057015,-0.8737900270312506
Pr2,mp-1059256,0.0
Y3Ga1C1,mp-10601,-0.48231809575
Tb2Ni2Sn1,mp-1068217,-0.5884989869999998
Sc1F3,mp-10694,-4.3191844433925
Ni1B2W2,mp-1070761,-0.4345547006666678
Y2Zn2Ga2,mp-1071737,-0.5793095333333333
Tl2Pd3S2,mp-1077950,-0.5360792397321431
Ce1Al4Si2Ir1,mp-1078427,-0.6342601400000003
Ba2Cd4Pt2,mp-1078435,-0.5293044025000002
Pr2Co2Ge4,mp-1079064,-0.6544272800000002
Hf6Al2N2,mp-1079110,-1.040070580475998
Tm2Cu2Sb4,mp-1079294,-0.5507601912500002
Ce2Co2Sb4,mp-1079392,-0.6368973125000004
Er2Ni1Sn6,mp-1079596,-0.442585022222222
Ba4Cd2As4,mp-1079666,-0.9457452699999997
Nd2Ge4Pt4,mp-1079773,-0.9128769734999999
Sr2H2Br2O2,mp-1080045,-2.2378777568425003
Ca2Ga4Ni2,mp-1080561,-0.5020198112500003
Nd2Co2Ge4,mp-1080572,-0.6603217831250001
Ho4Co2Ge4,mp-1080818,-0.7494081470000005
K4Bi2Au2,mp-1084770,-0.4237707565000002
Hf1Al1Cu2,mp-10887,-0.33289706500000005
Na8Zn8S12,mp-1094107,-1.2158183183839282
Mg9,mp-1094122,0.0
Eu4In2Pt4,mp-1095035,-0.8846746936666662
Ba2Tb2Ag2S6,mp-1095340,-1.9465773981423613
Dy3Sc2S7,mp-1095468,-2.405716579036459
Sb4Ir4Se4,mp-1095507,-0.4496790186979176
Er4Tc8,mp-1095604,-0.22195647750000091
Nb10Pb14O39,mp-1101724,-2.438559405575398
Sm4Ru8,mp-1102438,-0.21882778499999964
Zn8P16,mp-11025,-0.2457440726785709
Tm4Ni4P4,mp-1102558,-1.2173698657142857
Sr4Ga4Ge4,mp-1102705,-0.5361035299999996
Rb2Mo6Se6,mp-1103685,-0.7038405515894388
La1Mg1,mp-1104,-0.12034930874999983
Pr9Pt6,mp-1104177,-0.9090198043333335
Lu6Pt8,mp-1104877,-1.291989619285714
Nb4Pd2S10,mp-1106085,-1.278982805039064
Mn4B16,mp-1106184,-0.2888986173333336
Ti3In3Rh2,mp-11073,-0.45849301375000007
Cs2Li1Y1I6,mp-1112663,-1.448029514241379
Na2C2O6,mp-1120755,-1.8061129688999997
Ta4Be2,mp-11278,-0.16376710833333283
Tb3Al3Ni3,mp-11538,-0.5982318400000008
K2Ca2P6O18,mp-11625,-2.916546965941327
Dy4Pt4O14,mp-1178365,-2.4795443960227286
Sm3In3Cu3,mp-1179530,-0.40173590083333327
Na1Ti1Cu3Se4,mp-1180119,-0.6836314883935183
Ba2Cd2Ge2,mp-11816,-0.47075468666666637
Co6Ag9Sb3O18,mp-1181748,-1.2196149027083334
Er2Cu1Pd1,mp-1184092,-0.6157519999999996
Eu2Ag1Pb1,mp-1184199,-0.4499897766666665
Ba1Mg149,mp-1184337,-0.014667739866666429
Gd1Cd1Ag2,mp-1184477,-0.28603455458333293
Ho1Mg1Ag2,mp-1184818,-0.3257387770833331
Li2In1Pb1,mp-1184985,-0.27608288083333354
Hf8In4Ni8,mp-1185055,-0.5074399776666667
La1Ho1In2,mp-1185076,-0.4757917572916668
Lu2Co1Cu1,mp-1185457,-0.26505182500000046
Mg149Zr1,mp-1185655,-0.01729774099999967
Nd1Cd1Ag2,mp-1186295,-0.2934267889583331
Pr1Nd1In2,mp-1186832,-0.4824284997916668
Tb1Dy1In2,mp-1187334,-0.4609021716666666
Sm1Mg149,mp-1187791,-0.02086760188333301
Zn1Ag1,mp-1187974,-0.05108141583333303
Zr14Cu20,mp-1188077,-0.15574978382352941
Eu4Mg2Ir2O12,mp-1188494,-2.6444512082500005
Tb4B8Os4,mp-1189495,-0.5591245614583329
Ca4Cr2Sb2O12,mp-1189906,-2.7197847407499998
Li2La2C4N8,mp-1189974,-0.9399211111899994
Li2In2W4O16,mp-1190195,-2.2140265706944446
Nd4Ir4O14,mp-1190299,-2.444054729204547
Ho14Te4Au4,mp-1190610,-0.830670412727273
Dy2Mn12P7,mp-1190617,-0.7068172945238086
Cs1K2Fe3P4Cl1O14,mp-1190639,-2.5299997426615333
Er2Fe17C3,mp-1191671,-0.0907827566477279
Eu2Co12P7,mp-1191681,-0.6889616188095241
Sm6B6N12,mp-1192040,-1.5762054405649988
Y6Fe18,mp-1192321,-0.06416103041666688
Er8Zn10Ge12,mp-1192836,-0.5293422079999994
Cs1Mg1As1H12O10,mp-1193046,-1.6744660588858755
Ta20Al10,mp-1193531,-0.24359989300000015
Na4Y4B4Te2O20,mp-1194587,-2.8585220288137254
K4Pb6C6O18F4,mp-1194624,-2.095919403072631
Pr4Tl4P8S28,mp-1194930,-1.1748522254748373
Na12Mn3S6O24F8,mp-1194939,-2.4506731388825465
Bi4Te4N4O24,mp-1195032,-1.377732994431111
K4Sb4S8O32,mp-1195296,-2.094816740927083
Rb2Pd1S8O26,mp-1195322,-1.9006353367753952
Ca30I12O72,mp-1196062,-2.37947841377193
Cs8H16F24,mp-1196282,-2.3654482499194827
La16Mn8Se16O16,mp-1196301,-2.6158830595567863
Cs6H24N8F6,mp-1196740,-1.1771138534159404
Cu4As48P16S48Cl4,mp-1197298,-0.48046920910271446
Sb8N8Cl64O8,mp-1197652,-0.8527178398599999
K4Mn4P4O12F12,mp-1198325,-2.8059070064914287
Gd8Fe56B4,mp-1198327,-0.10663336642156865
Rb4Mo6Se2O24,mp-1198721,-2.0269561874601894
Ta16Co4Te16,mp-1199549,-0.38155259361111227
Rb36Mg12B58O116F2,mp-1200013,-2.790983849671698
V16Cr8O52,mp-1200219,-2.3733422457236837
Eu12Ge8As16,mp-1200526,-0.8141173063888879
Er6Si22Pt46,mp-1201817,-0.8644756478378374
Cs4Cr4H96Se8O80,mp-1202355,-1.4495312266723832
Cu4Te8Pb4O28,mp-1203135,-1.4313696446590918
Y5Zr3Ni16As12,mp-1203300,-0.8357962550000005
Ca2H16Cl4O24,mp-1204240,-1.3007293552382613
Pr6Co18P12,mp-1204360,-0.8290117223809522
Mo4Pb2Se4O22,mp-1204412,-1.716862424589844
La4Tm11S22,mp-1204597,-2.526842723496622
Ba2Pd2Se4O12,mp-1205352,-1.7171247769687497
Cs1P2Rh2,mp-1206405,-0.7445301260985218
K2Tc1Br6,mp-1206472,-1.057145675111111
Rb2Mn1F4,mp-1206523,-2.993794823772807
Zr1Ni1F6,mp-1206530,-3.3461672083925
Pr3Sn1N1,mp-1206822,-0.9954132944759998
Si2Rh3,mp-1207013,-0.818480876000001
Rb1P2Rh2,mp-1207113,-0.730229956926108
Zr3Tl2Cu2S8,mp-1207410,-1.4582825288333339
Zr4Ni4As4,mp-1207428,-0.8947640600000012
Zr14Pt20,mp-1207440,-1.0817659179411776
Tb3Cd3Pd3,mp-1208303,-0.6992449805555552
Te8Br32,mp-1208424,-0.39006005399999993
Tb8Hf12Si16,mp-1208581,-0.8346261808333332
Sr6Li12Ta4O22,mp-1208758,-2.957817831193182
Sm4Cr4Ge4O20,mp-1208812,-2.833244092343749
Sm3As6Pd9,mp-1208854,-0.8157800648611118
Sm6W2Cl6O12,mp-1208868,-3.115681918444616
Sm4S6O24,mp-1208980,-2.762793765422795
Rb2Y2Se2Cl4O6,mp-1209082,-2.422244481463572
Rb2Gd6F20,mp-1209289,-4.242675400874631
Pd2Pb4F12,mp-1209528,-2.3094094013488893
Rb2Eu2W4O16,mp-1209558,-2.479350436695403
Pr10Sn6Au2,mp-1209635,-0.7370935916666662
Rb4Cu4P12O36,mp-1209760,-2.414840542180243
Rb8Pr16Cl56,mp-1209859,-2.660586647191483
Nb2Tl2Cl12,mp-1209881,-1.634607638695
Nd4Ni4Ge4,mp-1210049,-0.6956462650000006
Pr6Sn26Ru8,mp-1210053,-0.42178019225000013
Nd6Cu6Bi8,mp-1210067,-0.56916773875
Nd12Tm8Ga12O48,mp-1210408,-3.3833512119999996
Na6Er2Br12,mp-1210529,-1.6928896023500002
Tb12Ge36Rh60,mp-1211078,-0.7066039161111106
Li4Eu4P4,mp-1211143,-1.0010013057142852
La12Ni6Pb1,mp-1211984,-0.31467585631578965
K8La4I20,mp-1212017,-1.5324872244999999
Hf4Te28Se4Cl24,mp-1212434,-0.9519686993769165
Hf12C2Cl28,mp-1212485,-2.1379199728280947
H48Pb4N12Cl20,mp-1212614,-0.966490474851428
La4Ga4Ge8O28,mp-1212633,-2.634282989204546
Er4Al18Rh6,mp-1212861,-0.8294439625
Dy10Bi2Pd4,mp-1212882,-0.6949831024999993
Dy16Ni36P22,mp-1213609,-0.9875754963127416
Cs4Na2Ga2P4,mp-1213705,-0.4297622493665851
Ce3Ni2Ge7,mp-1213875,-0.6698102812499999
Cs12La4Br24,mp-1213905,-1.9348574828620684
Cs16Re24Se32I24,mp-1214500,-0.8013544771282332
Ba10Ho4Zr2Al4O26,mp-1214508,-3.5037235173369567
As4Ru4S4,mp-1214786,-0.7301839038541663
Ba8B20Br4O36,mp-1214841,-2.993832526299019
Ba18Dy6B18O54,mp-1214848,-3.319252192942709
Yb6P19Rh30,mp-1215876,-0.9498823672857146
Y4Be2Al2B2O14,mp-1216100,-3.56698303982639
Tm1In2Sn1,mp-1216827,-0.3800523679166661
Ti1Ga1Ni6,mp-1216876,-0.40428400583333346
Tb4Nd4Co56B4,mp-1217550,-0.14171931921568662
Tb1Cu2Ni3,mp-1217570,-0.28644397000000055
Ta4Mn4Nb4O24,mp-1217948,-3.009199188162223
Rb2V6Cd8O24,mp-1219122,-2.048983010267242
Pd4W1,mp-1219940,-0.029994935999999937
Na2H2Se2O8,mp-1220802,-1.4942010695305352
Na1Pr1S2,mp-1220912,-2.1065402194062504
Na1Mo2P4O14,mp-1220983,-2.59091283359864
Mo1W1C2,mp-1221393,-0.10016682937500043
Li4Cd5Sb5,mp-1222490,-0.3111480603571429
Li2Mg1Tl1,mp-1222613,-0.2145382174999999
La1Nd1Al4,mp-1222785,-0.5059835375
Lu16V20B72,mp-1223330,-0.7271510799074071
K1Rb1In4Au8,mp-1223353,-0.2768475308341541
K1Bi1S2,mp-1223443,-1.1255605952812502
K2Mg1Zr1Mo4O16,mp-1223759,-2.482213724416667
Ho1Zn1Si1,mp-1223786,-0.6170111749999995
Gd2B2O6,mp-1224628,-3.444086610583335
Fe3Ni1As4,mp-1224770,-0.24354751375000028
Gd12Co9,mp-1225806,-0.12828385095238154
K60Ga18Sb38,mp-1225850,-0.4407145241379311
Cs4Si8H4O20,mp-1226125,-2.8256377917863227
Ce2Cd1Sb4,mp-1226843,-0.6765908792857138
Ca2Sm2Mn4O12,mp-1227151,-2.783314541691999
Ca3Nb12O24,mp-1227240,-2.9836261319230775
Ba10P6O24F2,mp-1228113,-3.404055063934219
Li5Tl2,mp-12283,-0.23654400714285728
Ba1V12S16,mp-1228781,-1.4575677812068977
Ba10Bi2Pb8O30,mp-1228869,-2.1620200204499995
Al1Cr4Ag1S8,mp-1228999,-1.096826757797619
Cs1V1P2S7,mp-12324,-1.0309240499027374
Mg1Mn1N2,mp-1247154,-0.7503108236899987
Lu4In2Pd4,mp-12691,-0.8850529976666671
Yb2Al4Ni2,mp-12782,-0.5291981112499999
Li2Ca2Ga2F12,mp-12829,-3.4827155546822226
Tb4Cu4Se8,mp-12984,-1.2226967761718752
Sc2Cu2Sn2,mp-13203,-0.5405195066666669
Na3Sr3P3,mp-13275,-0.7943331177698414
Y2C1,mp-1334,-0.29250879624999965
Dy4Zn4Rh4,mp-13379,-0.7382161058333327
Rh3Se8,mp-1407,-0.38779828079545486
Cd2Rh4O8,mp-14100,-1.2355676414285708
Tl4Ge2Se6,mp-14242,-0.3786800634635412
Zn8Ag8P24O72,mp-14260,-2.32567647432823
Ca2Cd4,mp-1444,-0.3403306649999999
Nb2Ni6,mp-1451,-0.2882734674999998
Rb36Fe8S28,mp-14890,-1.1768432666133866
Nd2Pd4O8,mp-15051,-1.9643016310714276
Zn1Rh1F6,mp-15637,-2.1262662065175
Pr1Pd3,mp-1571,-0.7540201987500001
Ho4Ge4Os2,mp-15827,-0.6987096919999984
V6Co2,mp-1585,-0.19446401750000142
Y6Si6Rh2,mp-16225,-0.9477807492857134
Yb1Au2,mp-1668,-0.8128587166666671
Ho8Mo4O24,mp-16811,-3.2533821941666665
Sr6Ge6O18,mp-17464,-2.764766784916666
Sr8Nb4N12,mp-17701,-1.2341990528566658
K4Zr6O2F24,mp-17888,-3.8851804207794447
Ca2Ga8O14,mp-17914,-2.523934324270835
Ca8P8O28,mp-17922,-3.2354831143668843
Sm6Ti6Se4O16,mp-18082,-3.3218309621679696
Na20Sn4P12,mp-18317,-0.3567487162698413
Rb4Na2Mn6F24,mp-18518,-2.9521532909638695
Ga4As2Rh10,mp-18561,-0.5263648893749995
Rb8Mo4S16,mp-18612,-1.325183437777094
Na4Tm4Ge4O16,mp-18629,-2.9158658113571425
Na3Mn3Cr3F18,mp-18641,-3.061799380659259
Lu4Mn4O14,mp-19153,-2.9509447048336366
K2Ni1O2,mp-19252,-1.2257273867000003
Ba2Mo2O8,mp-19276,-2.7282853224999997
Na8W2O10,mp-19334,-2.1445149146749998
Tm4Fe4Ge8O28,mp-19483,-2.557678062159091
Nd2Ni4Sn4,mp-20000,-0.5274316754999994
Dy1Co3B2,mp-20193,-0.4942353988888885
P4Pb4Se12,mp-20316,-0.31989290308482127
Yb4Sb4Pd4,mp-20540,-0.9812331824999999
Ni1Rh1F6,mp-20580,-1.9381818946425007
Gd8Sb6,mp-20831,-1.0566840414285719
Tm4In2Pd4,mp-21205,-0.8840731666666664
Yb3In3Pd3,mp-21499,-0.7775000666666673
Ce3Mg3Tl3,mp-21518,-0.20653074777777766
Sm1Zn1,mp-2165,-0.3234858437499999
Ce4Ge12Pd20,mp-21689,-0.6961218555555556
Ge24Ru16,mp-21945,-0.3562312352500001
Gd2V2O8,mp-22024,-3.194929065833333
